URL,Index,Rating,Time and Place,Review
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,2,4.0,"Jun 28, 2024","Very nice ambience to stay in this property, very very nice breakfast in the morning very very neat and clean."
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,3,4.0,"Jun 27, 2024",Hotel is on good location and nearby to all the amenities food is just average not much option on buffet and taste is average
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,4,3.0,"Jun 27, 2024","Rooms are old and untidy, slow service, stains on bedsheet, broken tap in washroom. Only good thing was quick checkin process and ac."
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,5,5.0,"Jun 26, 2024","Excellent services from the team excellent rooms
excellent food
excellent ambience must stay a while"
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,6,2.0,"Jun 26, 2024",Services and hospitality. Rude on services. I was taking dinner and they force me to pay immediately at 11. 09 night
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,7,3.0,"Jun 26, 2024","Safocation in room, other things are ok, ac not working properly, try to see for your ac please thank you"
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,8,1.0,"Jun 25, 2024","Terrible stay, poor service from the hotel staff, food was over priced where in the quality of the food was so bad, if you have an option please do not book here"
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,9,4.0,"Jun 25, 2024",It was good stay hospitality was good food also good room service excellent so nice experience breakfast buffet very good
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,10,1.0,"Jun 25, 2024","The ac was not working, the reception took an action so late. I had to call them at-least 3-4 time. Then they changed the room"
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,11,5.0,"Jun 25, 2024",Overall the experience was good in the hotel and i like the morning breakfast in the restaurant as the trainee over their ms. Soni was so helpful and quick to complete our requests. I really appreciate her efforts
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,12,3.0,"Jun 25, 2024",Service in room is poor. Electric kettle not working in both rooms. Got changed in 1 room but after 2-3 calls to house keeping. Wash basin choked in room 814. No coffee sachet in room 802 even after calling house keeping for coffee not getting them. Poor management
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,13,4.0,"Jun 25, 2024",The stay was overall good…room was good and clean but the room service is not good.Otherwise an amazing experience
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,14,1.0,"Jun 24, 2024",Unsafe people. Stubborn staff. 12 hour stay witnessed 3 fights. Rude staff and security. No mini bar no room service worst experience ever
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,15,5.0,"Jun 23, 2024","Excellent location superb services, helpful staff, what else do you need? will definitely come again to this place."
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,16,4.0,"Jun 23, 2024",The hotel staff took a hell lot if time for check in. I almost had to wait for 30-35 minutes as the room was not ready.
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,17,2.0,"Jun 23, 2024",Limited staff who was not able to handle the guest.. Poor services...room was too small even not had dinning table.. No signage was provided by hotel for any type of room service. Means guests has to learn by themselves.. And phone will not be picked by hotel staff.. Wow..
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,18,5.0,"Jun 22, 2024",Nice hotel to stay. Rooms are neat and clean. All ancillary facilities are available at the hotel. I love the swimming pool and spa. Hotel staff and restaurants staff are very nice.
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,19,4.0,"Jun 19, 2024",No good response on intercom. Staff is cooperative well stay nice location nice & hygienic food thanks
https://www.makemytrip.com/hotels/hotel-details/?hotelId=201101141522264305&_uCurrency=INR&checkin=07222024&checkout=07232024&city=CTDEL&cmp=SEO&country=IN&lat=28.66757&lng=77.09158&locusId=CTDEL&locusType=city&modifyDates=true&rank=2&roomStayQualifier=2e0e&searchText=Delhi&seoDS=true&seoReq=1719441108389&mtkeys=defaultMtkey,20,5.0,"Jun 19, 2024","My overall experience was quite good, if I talk about location then it is easily to find on google maps and the food was very delicious, specially I have tried ‘café latte’ it was amazing and the hospitality was excellent."
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,1,No rating,No date,No review
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,2,No rating,No date,No review
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,3,5,"Aug, 2018",Fabulous!
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,4,5,"Sep, 2018",Simply awesome
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,5,5,"Sep, 2018",Awesome
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,6,5,"Aug, 2018",Mind-blowing purchase
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,7,5,"Jun, 2020",Wonderful
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,8,5,10 months ago,Fabulous!
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,9,4,"Oct, 2022",Delightful
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,10,5,"Feb, 2018",Must buy!
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,11,5,"Feb, 2023",Just wow!
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,12,4,"Dec, 2022",Nice product
https://www.flipkart.com/flipkart-supermart-select-sugar/product-reviews/itmfy2jxm4h87ptd?pid=SUGFY2JXQQKRYFBP,13,No rating,No date,No review
